Sys.CPU_THREADS       32
SLURM_CPUS_PER_TASK   Not Set
OMP_NUM_THREADS       12
OMP_PROC_BIND         close
OMP_PLACES            cores
BLAS_NUM_THREADS      12
Threads.nthreads()    1

Num symmetry allowed elements: 65536    0.0005 GB

Size of nlocal operator pool: 408
============================================================================
--- ADAPT-VQRTE (Forward Batching) with McLachlan Trajectory Tracking ---
Pre-compiling Ham OTF ... Done in 0.0003 seconds
  Step     N            E         Trj Fid      L²-Err      Time
  0001    074    -9.0000000000    0.999998    9.882e-04    0.01    	  0.9994     0.9994    -0.9994    -0.9994
  0004    300    -8.9886900866    0.999998    1.147e-03    0.04    	  0.9897     0.9897    -0.9897    -0.9897
  0008    300    -8.9877636840    0.999995    3.173e-03    0.08    	  0.9591     0.9591    -0.9595    -0.9595
  0012    300    -8.9869692368    0.999982    7.468e-03    0.12    	  0.9097     0.9097    -0.9115    -0.9115
  0016    300    -8.9865219234    0.999928    2.030e-02    0.16    	  0.8434     0.8435    -0.8489    -0.8489
  0020    300    -8.9859637505    0.999751    5.373e-02     0.2    	  0.7632     0.7632    -0.7758    -0.7758
  0024    300    -8.9846687589    0.999221    1.444e-01    0.24    	  0.6723     0.6723    -0.6966    -0.6967
  0028    300    -8.9806166453    0.997733    3.681e-01    0.28    	  0.5743     0.5743    -0.6158    -0.6159
  0032    300    -8.9692561209    0.994117    7.610e-01    0.32    	  0.4730     0.4731    -0.5373    -0.5375
  0036    300    -8.9426090950    0.986557    1.380e+00    0.36    	  0.3720     0.3723    -0.4643    -0.4649
  0040    300    -8.8902160819    0.972357    2.333e+00     0.4    	  0.2750     0.2755    -0.3990    -0.4005
  0044    300    -8.8037548380    0.948205    3.619e+00    0.44    	  0.1848     0.1859    -0.3426    -0.3457
  0048    300    -8.6811774767    0.911029    5.126e+00    0.48    	  0.1043     0.1059    -0.2954    -0.3009
  0052    300    -8.5249911604    0.858897    6.731e+00    0.52    	  0.0352     0.0376    -0.2574    -0.2660
  0056    300    -8.3396852504    0.791652    8.356e+00    0.56    	 -0.0211    -0.0179    -0.2280    -0.2400
  0060    300    -8.1313716023    0.711151    9.958e+00     0.6    	 -0.0639    -0.0599    -0.2055    -0.2215
  0064    300    -7.9103934375    0.620767    1.154e+01    0.64    	 -0.0936    -0.0886    -0.1897    -0.2091
  0068    300    -7.6863785088    0.524749    1.316e+01    0.68    	 -0.1115    -0.1047    -0.1803    -0.2014
  0072    300    -7.4642463065    0.427874    1.493e+01    0.72    	 -0.1195    -0.1095    -0.1754    -0.1971
  0076    300    -7.2447681686    0.334922    1.679e+01    0.76    	 -0.1192    -0.1047    -0.1717    -0.1952
  0080    300    -7.0286914396    0.250702    1.825e+01     0.8    	 -0.1119    -0.0922    -0.1669    -0.1950
  0084    300    -6.8184278833    0.179486    1.906e+01    0.84    	 -0.0995    -0.0742    -0.1619    -0.1959
  0088    300    -6.6175719709    0.123524    1.932e+01    0.88    	 -0.0846    -0.0528    -0.1589    -0.1976
  0092    300    -6.4303864089    0.082528    1.917e+01    0.92    	 -0.0695    -0.0301    -0.1589    -0.2000
  0096    300    -6.2584804532    0.054307    1.871e+01    0.96    	 -0.0560    -0.0079    -0.1617    -0.2027
  0100    300    -6.0980427604    0.035758    1.809e+01       1    	 -0.0449     0.0122    -0.1661    -0.2058
  0104    300    -5.9412126848    0.023808    1.755e+01    1.04    	 -0.0369     0.0288    -0.1710    -0.2089
  0108    300    -5.7808374892    0.016078    1.733e+01    1.08    	 -0.0325     0.0411    -0.1757    -0.2119
  0112    300    -5.6135487021    0.011034    1.738e+01    1.12    	 -0.0318     0.0486    -0.1796    -0.2145
  0116    300    -5.4402535612    0.007748    1.752e+01    1.16    	 -0.0349     0.0512    -0.1820    -0.2165
  0120    300    -5.2655416812    0.005625    1.762e+01     1.2    	 -0.0418     0.0490    -0.1827    -0.2176
  0124    300    -5.0958614221    0.004256    1.770e+01    1.24    	 -0.0525     0.0425    -0.1821    -0.2176
  0128    300    -4.9351845260    0.003356    1.776e+01    1.28    	 -0.0674     0.0324    -0.1804    -0.2165
  0132    300    -4.7830543281    0.002742    1.770e+01    1.32    	 -0.0866     0.0195    -0.1780    -0.2142
  0136    300    -4.6373747087    0.002307    1.748e+01    1.36    	 -0.1099     0.0048    -0.1748    -0.2107
  0140    300    -4.4977826695    0.001984    1.714e+01     1.4    	 -0.1364    -0.0107    -0.1712    -0.2060
  0144    300    -4.3676796941    0.001729    1.676e+01    1.44    	 -0.1644    -0.0260    -0.1681    -0.2003
  0148    300    -4.2539380528    0.001510    1.648e+01    1.48    	 -0.1918    -0.0405    -0.1667    -0.1936
  0152    300    -4.1640347099    0.001306    1.637e+01    1.52    	 -0.2163    -0.0534    -0.1681    -0.1860
  0156    300    -4.1028077070    0.001102    1.643e+01    1.56    	 -0.2359    -0.0641    -0.1727    -0.1778
  0160    300    -4.0714514023    0.000895    1.666e+01     1.6    	 -0.2487    -0.0724    -0.1804    -0.1690
  0164    300    -4.0677136065    0.000693    1.692e+01    1.64    	 -0.2529    -0.0781    -0.1902    -0.1599
  0168    300    -4.0854921294    0.000510    1.707e+01    1.68    	 -0.2466    -0.0813    -0.2016    -0.1507
  0172    300    -4.1167835210    0.000361    1.714e+01    1.72    	 -0.2287    -0.0823    -0.2145    -0.1415
  0176    300    -4.1552339892    0.000249    1.728e+01    1.76    	 -0.1987    -0.0813    -0.2291    -0.1327
  0180    300    -4.1960703328    0.000172    1.755e+01     1.8    	 -0.1573    -0.0789    -0.2457    -0.1243
  0184    300    -4.2344782986    0.000120    1.785e+01    1.84    	 -0.1066    -0.0755    -0.2644    -0.1167
  0188    300    -4.2650256187    0.000085    1.806e+01    1.88    	 -0.0497    -0.0718    -0.2850    -0.1100
  0192    300    -4.2813484391    0.000062    1.806e+01    1.92    	  0.0100    -0.0682    -0.3069    -0.1044
  0196    300    -4.2769990147    0.000047    1.786e+01    1.96    	  0.0690    -0.0652    -0.3293    -0.1000
  0200    300    -4.2477032031    0.000038    1.755e+01       2    	  0.1248    -0.0632    -0.3509    -0.0968

ADAPT-VQRTE (Forward Batching) completed in 1576.6350 seconds.
============================================================================

